iteration,path,iteration-dt,refine-dt,build-dt,upwards-dt,solve-dt,l1-error,lI-error
0,011101,      3.56125754,      1.63811258,      0.00000000,      1.06283750,      0.86030675,  1.12114137e-04,  2.78625876e-04
1,000110,      3.57408667,      1.65513562,      0.00000000,      1.06927254,      0.84967742,  1.12095046e-04,  2.78720181e-04
2,011203,      3.56526292,      1.64535104,      0.00000000,      1.07077662,      0.84913450,  1.12205646e-04,  2.78437876e-04
3,000220,      3.55223758,      1.63687358,      0.00000000,      1.06057179,      0.85479138,  1.12190557e-04,  2.78532181e-04
4,002100,      3.57196925,      1.64520542,      0.00000000,      1.07558333,      0.85117967,  1.12238446e-04,  2.78494419e-04
5,020202,      3.58601158,      1.65308992,      0.00000000,      1.08277733,      0.85014329,  1.12307405e-04,  2.78692929e-04
6,020030,      3.55611087,      1.63823733,      0.00000000,      1.06905229,      0.84882046,  1.12307961e-04,  2.78846082e-04
7,031122,      3.55343221,      1.63573867,      0.00000000,      1.06610538,      0.85158750,  1.12197242e-04,  2.82182494e-04
8,003322,      3.54747708,      1.63377267,      0.00000000,      1.06335100,      0.85035267,  1.12204707e-04,  2.81062248e-04
9,020131,      3.55122717,      1.64193183,      0.00000000,      1.05710758,      0.85218662,  1.11822616e-04,  2.82026921e-04
10,002333,      3.54940150,      1.63699471,      0.00000000,      1.06246221,      0.84994371,  1.11866699e-04,  2.83063776e-04
11,003010,      3.55924292,      1.63929746,      0.00000000,      1.06413646,      0.85580779,  1.11717295e-04,  2.82708610e-04
12,003310,      3.57578108,      1.64584792,      0.00000000,      1.07885758,      0.85107483,  1.11508878e-04,  2.83785495e-04
13,033011,      3.56607067,      1.63940567,      0.00000000,      1.07486338,      0.85180092,  1.11607530e-04,  2.83615733e-04
14,023230,      3.55245542,      1.63599296,      0.00000000,      1.06438992,      0.85207162,  1.11684993e-04,  2.84120719e-04
15,022332,      3.57493062,      1.64163754,      0.00000000,      1.07613417,      0.85715817,  1.11755397e-04,  2.84787437e-04
16,000023,      3.57895379,      1.64892262,      0.00000000,      1.07463342,      0.85539679,  1.11802237e-04,  2.84736868e-04
17,033331,      3.56146763,      1.63792263,      0.00000000,      1.06765012,      0.85589392,  1.11833548e-04,  2.84788564e-04
18,013002,      3.64391933,      1.63954162,      0.00000000,      1.13662758,      0.86774908,  1.11910990e-04,  2.84589287e-04
19,013313,      3.56834317,      1.63758596,      0.00000000,      1.07707638,      0.85368042,  1.11884830e-04,  2.84877086e-04
20,020021,      3.58472533,      1.63319175,      0.00000000,      1.08838171,      0.86315100,  1.11908169e-04,  2.82309450e-04
21,011321,      3.58685837,      1.63694908,      0.00000000,      1.08316946,      0.86673904,  1.11881025e-04,  2.82301058e-04
22,033232,      3.64605642,      1.66383625,      0.00000000,      1.10018846,      0.88203087,  1.11906009e-04,  2.82438339e-04
23,021202,      3.64800342,      1.69337108,      0.00000000,      1.09352608,      0.86110558,  1.11973578e-04,  2.82288888e-04
24,033133,      3.61654825,      1.64917321,      0.00000000,      1.09650283,      0.87087142,  1.12052294e-04,  2.82386401e-04
25,031032,      3.59954487,      1.65570992,      0.00000000,      1.08827012,      0.85556404,  1.12222504e-04,  2.85191872e-04
26,010032,      3.58853913,      1.63951992,      0.00000000,      1.09166188,      0.85735654,  1.12229721e-04,  2.85181333e-04
27,003332,      3.61273887,      1.65609962,      0.00000000,      1.09712863,      0.85950933,  1.12173418e-04,  2.84257393e-04
28,023102,      3.65633504,      1.66498033,      0.00000000,      1.13007462,      0.86127929,  1.12100862e-04,  2.85544295e-04
29,0000230,      3.63522975,      1.68330329,      0.00000000,      1.09454558,      0.85738004,  1.12114549e-04,  2.85537375e-04
30,020332,      3.59773262,      1.64013496,      0.00000000,      1.09396283,      0.86363442,  1.12149067e-04,  2.88015894e-04
31,020333,      3.63999979,      1.68783829,      0.00000000,      1.08870550,      0.86345533,  1.12179362e-04,  2.88840921e-04
32,033010,      3.59282067,      1.64404521,      0.00000000,      1.09351379,      0.85526079,  1.12238596e-04,  2.88758973e-04
33,031321,      3.58738079,      1.64056696,      0.00000000,      1.09157450,      0.85523879,  1.12241443e-04,  2.88900286e-04
34,001222,      3.58460067,      1.63272279,      0.00000000,      1.09365979,      0.85821725,  1.11782964e-04,  2.91954774e-04
35,003303,      3.57774421,      1.63563329,      0.00000000,      1.08663983,      0.85547050,  1.11550896e-04,  2.96201721e-04
36,000133,      3.59500312,      1.63446171,      0.00000000,      1.09986683,      0.86067383,  1.11588414e-04,  2.96974384e-04
37,001103,      3.60231883,      1.65046229,      0.00000000,      1.09373892,      0.85811679,  1.11609709e-04,  2.96617768e-04
