iteration,path,iteration-dt,refine-dt,build-dt,upwards-dt,solve-dt,l1-error,lI-error
0,011101,     10.91569800,      0.02035375,      8.99396371,      1.04891546,      0.84812554,  1.12114137e-04,  2.78625876e-04
1,000110,     10.94902671,      0.01973283,      8.99223279,      1.04796829,      0.88488396,  1.12095046e-04,  2.78720181e-04
2,011203,     10.99842612,      0.01957446,      9.07937387,      1.04946608,      0.84583688,  1.12205646e-04,  2.78437876e-04
3,000220,     10.94578438,      0.01962296,      9.01792133,      1.05527237,      0.84877175,  1.12190557e-04,  2.78532181e-04
4,002100,     11.02425846,      0.01963712,      9.09869150,      1.05154254,      0.85017913,  1.12238446e-04,  2.78494419e-04
5,020202,     11.02067633,      0.01973508,      9.08594446,      1.05986358,      0.85090167,  1.12307405e-04,  2.78692929e-04
6,020030,     11.03929996,      0.01972600,      9.10467454,      1.06092625,      0.84973217,  1.12307961e-04,  2.78846082e-04
7,031122,     11.05441088,      0.01968350,      9.11537600,      1.06336075,      0.85171971,  1.12197242e-04,  2.82182494e-04
8,003322,     11.09400412,      0.01968833,      9.15760492,      1.06137638,      0.85101683,  1.12204707e-04,  2.81062248e-04
9,020131,     11.09981158,      0.01995825,      9.15286096,      1.07286325,      0.84984392,  1.11822616e-04,  2.82026921e-04
10,002333,     11.13792721,      0.01964162,      9.18541337,      1.07637121,      0.85219588,  1.11866699e-04,  2.83063776e-04
11,003010,     11.12459117,      0.01976004,      9.18188533,      1.06752754,      0.85106667,  1.11717295e-04,  2.82708610e-04
12,003310,     11.17476471,      0.01967363,      9.22029433,      1.07863021,      0.85176117,  1.11508878e-04,  2.83785495e-04
13,033011,     11.20138704,      0.01961425,      9.24254150,      1.08330000,      0.85158021,  1.11607530e-04,  2.83615733e-04
14,023230,     11.20301950,      0.01983929,      9.25110429,      1.07589425,      0.85175792,  1.11684993e-04,  2.84120719e-04
15,022332,     11.22477750,      0.01966833,      9.27584433,      1.07152512,      0.85334942,  1.11755397e-04,  2.84787437e-04
16,000023,     11.27461292,      0.01973575,      9.30751542,      1.08736071,      0.85556075,  1.11802237e-04,  2.84736868e-04
17,033331,     11.26610388,      0.01986917,      9.30458521,      1.08071533,      0.85645242,  1.11833548e-04,  2.84788564e-04
18,013002,     11.34679917,      0.01974767,      9.38135133,      1.08634954,      0.85489812,  1.11910990e-04,  2.84589287e-04
19,013313,     11.46413971,      0.01983254,      9.49366467,      1.08782533,      0.85831450,  1.11884830e-04,  2.84877086e-04
20,020021,     11.35019754,      0.02002971,      9.36846083,      1.10109033,      0.85607654,  1.11908169e-04,  2.82309450e-04
21,011321,     11.35400217,      0.01977683,      9.38828038,      1.08547112,      0.85592488,  1.11881025e-04,  2.82301058e-04
